"effect","group","term","estimate","std.error","statistic","dataset_num","effect_size"
"fixed",NA,"condnoMusic",-1.94351469286739,0.377950820946868,-5.14224228432253,39,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.22591326401144,0.389951055826793,-3.14376187907019,39,"effect_1_detail_100_subs"
"fixed",NA,"type",-0.175277516167661,0.933305610492723,-0.187802917069282,39,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.721262880642886,0.391932656033633,-1.84027247931337,39,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.37564498817178,0.400599117913287,-13.4190135419504,39,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",1.08756527495427,0.641683059586005,1.69486362263628,39,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.291784624977614,0.651626473191518,0.447778960772603,39,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-0.952912968308636,0.686449323381462,-1.38817671727691,39,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",8.47570419763773,1.06197124650503,7.98110516224564,39,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.153080907477,0.514837304837955,23.6056726916907,40,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.69863190850375,0.356706634080894,-4.76198575022448,40,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.23066318058231,0.354878224560294,-3.46784642001391,40,"effect_1_detail_100_subs"
"fixed",NA,"type",0.98307425658191,0.92932133878528,1.05784104545247,40,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.777760998490784,0.349384191075088,-2.22609098625081,40,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.46506887269632,0.399492476458897,-13.6800295243072,40,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",-0.381048084870309,0.603251231937022,-0.631657367108516,40,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.813715353026898,0.529724003253859,1.53611191493798,40,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.7808996525681,0.710154222137309,-2.50776464752717,40,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.6299585855041,1.02568698631677,6.46391996189031,40,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.7373429683054,0.552841060012261,23.0397918852535,41,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-2.29874964340401,0.37936632787075,-6.05944564533727,41,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.32206365703995,0.373962270241927,-3.53528620998229,41,"effect_1_detail_100_subs"
"fixed",NA,"type",0.0930988227787809,0.902364566930201,0.103172072785946,41,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.741087454308636,0.389062025787091,-1.90480541710382,41,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-4.75948713392398,0.390686950562357,-12.1823550212597,41,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.835912384489176,0.592209923803357,1.41151363881356,41,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",1.5367123385824,0.630225228103559,2.43835421061546,41,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.53656520434945,0.74587318146911,-2.06008909091349,41,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",5.87064441109409,1.03628988309901,5.66506004433625,41,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",11.7981358643712,0.447637209893321,26.3564681479069,42,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.71043003062795,0.331127381148023,-5.16547446090946,42,"effect_1_detail_100_subs"
