participant_id,event,time,condition,title,artist,trial,session,music_evoked_affect,mem_positive,mem_vivid,spont_memory,mem_coincidence,artist_exposure_rating,familiarity,childhood_exposure,adolescence_exposure,young_adult_exposure,adult_present_exposure,clip_liking,uri
61,A slumber party in junior/high school,adol,C,11,no music,14,3,5,6,5,y,1,NA,NA,NA,NA,NA,NA,NA,NA
61,A moment with your high school best friend,adol,C,5,no music,15,3,3,7,7,y,2,NA,NA,NA,NA,NA,NA,NA,NA
62,Moving into your first home after your parents house or dorm,adult,F,Don't Go Breaking My Heart - Remastered,Elton John,1,1,6,4,6,y,3,5,5,1,1,4,4,4,spotify:track:4LTxJnvxbnnDJYygjoSXDp
62,A bachelorette or bachelor party,adult,F,Shining Star,"Earth, Wind & Fire",2,1,7,6,7,y,2,5,5,1,1,5,4,5,spotify:track:0RgcOUQg4qYAEt9RIdf3oB
62,A moment with your best friend in your 20's,adult,F,One of These Nights - 2013 Remaster,Eagles,3,1,3,7,5,y,1,5,5,1,1,3,3,2,spotify:track:608xszaAxVh4m7NcKJiAbF
62,A memorable party in your 20's,adult,F,I'm Your Boogie Man,KC and the Sunshine Band,4,1,3,2,5,y,4,5,5,1,1,3,4,4,spotify:track:6mjlbRIgMTf2nqY0kq1rOJ
62,A work-related trip in your 20's,adult,F,Thank God I'm a Country Boy,John Denver,5,1,7,6,4,y,3,5,5,1,1,2,4,4,spotify:track:69HICMmc6nNLucAx3aJX9M
62,A celebration of your own birthday during childhood,child,F,It's Now or Never,Elvis Presley,6,1,5,4,7,y,2,5,5,1,2,3,3,4,spotify:track:1XunTmhOcj3xwh4b8P3isX
62,A time playing a game with a sibling in childhood,child,F,Cathy's Clown,The Everly Brothers,7,1,4,7,4,n,NA,3,3,2,2,3,2,2,spotify:track:1MA9StLzlFftLbuqOmoWij
62,An activity you did in elementary school,child,F,Travelin' Man - Remastered,Ricky Nelson,8,1,4,5,4,y,1,4,4,1,1,3,3,4,spotify:track:1TWhxGkqGjWrTMshmlTY2P
62,A time with a babysitter you had during childhood,child,F,Mack the Knife,Bobby Darin,9,1,5,5,4,y,4,3,5,2,3,3,3,4,spotify:track:0YTgZJfVLmJ0b8XAMZKRKg
62,First time you or a friend swore in front of an adult,child,F,Can't Get Used to Losing You - Single Version,Andy Williams,10,1,4,2,6,y,1,4,5,1,3,3,3,2,spotify:track:41zpWL98BsYKP5nvtdTM5z
62,A moment with your high school girlfriend/boyfriend,adol,F,Hey Jude - Remastered 2009,The Beatles,11,1,6,2,5,y,3,5,5,1,3,4,4,5,spotify:track:3m7V717IKZqZLW5qUIOxdD
62,A religious ceremony during your adolescence,adol,F,Joy To The World,Three Dog Night,12,1,7,7,4,y,1,5,5,1,5,5,4,5,spotify:track:1Sqcqzfgv5oB2nPcVGw6cp
62,A moment with your high school best friend,adol,F,Bridge Over Troubled Water,Simon & Garfunkel,13,1,5,3,7,y,3,5,5,1,4,4,4,4,spotify:track:6l8EbYRtQMgKOyc1gcDHF9
62,A time you did a specific chore for your parents,adol,F,(They Long To Be) Close To You,The Carpenters,14,1,5,2,4,y,1,5,5,1,5,5,2,4,spotify:track:2kyVQg00pphEufGT59M2XH
62,Going to a wedding as a teenager,adol,F,Aquarius / Let the Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,15,1,6,3,5,y,1,5,5,1,5,3,2,4,spotify:track:0HZlND4giwzgolBpaNIRGV
62,A halloween in your 20's,adult,C,2,no music,1,2,6,7,5,y,4,NA,NA,NA,NA,NA,NA,NA,NA
62,A sporting event or concert in your 20's,adult,C,4,no music,2,2,2,7,4,y,3,NA,NA,NA,NA,NA,NA,NA,NA
